1857,1861,1866,1868,Section1857,Section1861,Section1866,Section1868,PIÈCES CONDAMNÉES,PoemTitle,IDNO
0,82,0,84,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Horreur sympathique,FDM-000-082-000-084
0,0,0,85,nope,nope,nope,SPLEEN ET IDÉAL,nope,"Le Calumet de paix, imite de Longfellow",FDM-000-000-000-085
0,0,0,86,nope,nope,nope,SPLEEN ET IDÉAL,nope,LA PRIERE D'UN PAÏEN,FDM-000-000-000-086
0,0,0,87,nope,nope,nope,SPLEEN ET IDÉAL,nope,LE COUVERCLE,FDM-000-000-000-087
0,0,18,88,nope,nope,PIECES DIVERSES,SPLEEN ET IDÉAL,nope,L'IMPREVU,FDM-000-000-018-088
0,0,0,89,nope,nope,nope,SPLEEN ET IDÉAL,nope,L'EXAMEN DE MINUIT,FDM-000-000-000-089
0,0,0,90,nope,nope,nope,SPLEEN ET IDÉAL,nope,MADRIGAL TRISTE,FDM-000-000-000-090
0,0,0,91,nope,nope,nope,SPLEEN ET IDÉAL,nope,L'AVERTISSEUR,FDM-000-000-000-091
0,0,20,92,nope,nope,PIECES DIVERSES,SPLEEN ET IDÉAL,nope,A UNE MALABARAISE,FDM-000-000-020-092
0,0,17,93,nope,nope,PIECES DIVERSES,SPLEEN ET IDÉAL,nope,LA VOIX,FDM-000-000-017-093
0,0,0,94,nope,nope,nope,SPLEEN ET IDÉAL,nope,HYMNE,FDM-000-000-000-094
0,0,0,95,nope,nope,nope,SPLEEN ET IDÉAL,nope,LE REBELLE,FDM-000-000-000-095
0,0,9,96,nope,nope,GALANTERIES,SPLEEN ET IDÉAL,nope,Les Yeux de Berthe,FDM-000-000-009-096
0,0,8,97,nope,nope,GALANTERIES,SPLEEN ET IDÉAL,nope,LE JET D'EAU,FDM-000-000-008-097
0,0,19,98,nope,nope,PIECES DIVERSES,SPLEEN ET IDÉAL,nope,La Rancon,FDM-000-000-019-098
0,0,0,99,nope,nope,nope,SPLEEN ET IDÉAL,nope,Bien loin d’ici,FDM-000-000-000-099
0,0,1,100,nope,nope,Le Epaves,SPLEEN ET IDÉAL,nope,LE COUCHER DU SOLEIL ROMANTIQUE,FDM-000-000-001-100
0,0,16,101,nope,nope,EPIGRAPHES,SPLEEN ET IDÉAL,nope,Sur le Tasse en prison d’Eugene Delacroix,FDM-000-000-016-101
0,0,0,102,nope,nope,nope,SPLEEN ET IDÉAL,nope,LE GOUFFRE,FDM-000-000-000-102
0,0,0,103,nope,nope,nope,SPLEEN ET IDÉAL,nope,LES PLAINTES D'UN ICARE,FDM-000-000-000-103
0,0,0,104,nope,nope,nope,SPLEEN ET IDÉAL,nope,RECUEILLEMENT,FDM-000-000-000-104
52,83,0,105,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'HEAUTONTIMOROUMENOS,FDM-052-083-000-105
