ROW_ID,1857,1861,1866,1868,Section/PoemTitle,INDIVID TITLES,IDNO,Is Individual
138,1857,1861,1866,1868,NOT IN OUR VERSION as of 7/29/2014,,FDM-IDNO,FALSE
139,0,79,0,81,Obsession,,FDM-000-079-000-081,FALSE
140,21,22,0,23,Parfun exotique,,FDM-021-022-000-023,FALSE
141,0,86,0,108,Paysage,,FDM-000-086-000-108,FALSE
142,,,,,PIÈCES CONDAMNÉES,,FDM----,FALSE
143,37,42,0,43,"Que diras-tu ce soir, pauvre âme solitaire (untitled)",,FDM-037-042-000-043,FALSE
144,0,0,0,104,RECUEILLEMENT,,FDM-000-000-000-104,FALSE
145,32,33,0,34,REMORDS POSTHUME,,FDM-032-033-000-034,FALSE
146,0,102,0,126,Reve parisien,,FDM-000-102-000-126,FALSE
147,40,44,0,45,Reversibilite,,FDM-040-044-000-045,FALSE
148,24,26,0,27,SED NON SATIATA,,FDM-024-026-000-027,FALSE
149,0,40,0,41,SEMPER EADEM,,FDM-000-040-000-041,TRUE
150,74,70,0,72,SEPULTURE D'UN POETE MAUDIT,,FDM-074-070-000-072,FALSE
151,0,59,0,60,SISINA,,FDM-000-059-000-060,TRUE
152,0,64,0,66,SONNET D'AUTOMNE,,FDM-000-064-000-066,FALSE
153,62,78,0,80,SPLEE (Quand le ciel bas et lourd),,FDM-062-078-000-080,FALSE
154,60,76,0,78,Spleen (j’ai plus de souvenirs),,FDM-060-076-000-078,FALSE
155,61,77,0,79,SPLEEN (Je suis comme le roi),,FDM-061-077-000-079,FALSE
156,59,75,0,77,"SPLEEN (Pluviôse, irrité)",,FDM-059-075-000-077,FALSE
157,,,,,SPLEEN ET IDÉAL,,,
158,0,0,16,101,Sur le Tasse en prison d’Eugene Delacroix,,FDM-000-000-016-101,FALSE
159,0,0,21,0,Sur les Debuts d’Amina Boschetti,,FDM-000-000-021-000,FALSE
160,,,,,TABLEAUX PARISIENS,,FDM----,FALSE
161,36,41,0,42,TOUT ENTIERE,,FDM-036-041-000-042,TRUE
162,75,65,0,67,TRISTESSE DE LA LUNE,,FDM-075-065-000-067,FALSE
163,23,25,0,26,Tu mettrais l'univers entier dans ta ruelle (untitled),,FDM-023-025-000-026,TRUE
164,0,0,23,0,Un Cabaret folatre,,FDM-000-000-023-000,FALSE
165,0,38,0,39,UN FANTOME,,FDM-000-038-000-039,FALSE
166,88,116,0,141,UN VOYAGE A CYTHERE,,FDM-088-116-000-141,TRUE
167,27,29,0,30,UNE CHAROGNE,,FDM-027-029-000-030,FALSE
168,0,71,0,73,Une Gravure fantastique,,FDM-000-071-000-073,FALSE
169,79,110,0,135,UNE MARTYRE,,FDM-079-110-000-135,TRUE
170,31,32,0,33,Une nuit que j’etais pres d’une Juive,,FDM-031-032-000-033,FALSE
171,0,0,14,61,Vers pour le portrait d’Honore Daumier,,FDM-000-000-014-061,FALSE
